gvkey,conm,sich,ibc,ceq,prccd,cshoc,roe,market_cap,pe,market_cap_mil
208339,SHANGHAI HAIXIN GROUP CO LTD,2200,169.042,4334.364,0.284,468850600.0,3.9000416208698674,133153570.39999999,0.7876951905443617,133.15357039999998
208345,SHANGHAI BAOSIGHT SOFTWARE,7372,2326.78,11398.235,29.26,2159953874.0,20.413511390140666,63200250353.240005,27.162108301274724,63200.25035324001
208346,SHANGHAI HUAYI GROUP CORP,3011,1248.235,22629.913,0.54,243100000.0,5.5158630083995455,131274000.00000001,0.10516769678786447,131.274
208347,INESA INTELLIGENT TECH INC,7370,221.862,4752.46,0.668,293370465.0,4.668361227658938,195971470.62,0.8833034526868053,195.97147062
208366,SHENZHEN CEREALS HOLDINGS CO,2086,324.144,4919.674,3.37,51749280.0,6.588729253198484,174395073.6,0.5380172812083518,174.3950736
209182,SHANGHAI SHENQI PHARMA INV,2834,66.078,2363.039,0.568,54751650.0,2.796314406998784,31098937.199999996,0.4706398075002269,31.098937199999995
209239,TSANN KUEN CHINA ENTERPRISES,3630,96.092,1102.4,3.75,185391680.0,8.716618287373004,695218800.0,7.234929026349748,695.2188
209244,TSINGTAO BREWERY CO LTD,2082,4491.777,29060.385,80.92,709127610.0,15.456701623189096,57382606201.200005,12.775034513334033,57382.606201200004
209918,JIANG LING MOTORS CORP LTD,3711,1205.177,11292.579,10.53,344000000.0,10.672291953857483,3622320000.0,3.0056331974473465,3622.32
210111,SHANGHAI JIN JIANG ONLINE NE,5500,216.167,4232.117,0.61,161050032.0,5.107774666910201,98240519.52,0.4544658505692358,98.24051951999999
210631,CHINA INTL MARINE CONTAINERS,3412,4195.157,51619.332,7.77,2302682490.0,8.127104395694234,17891842947.3,4.26488041980312,17891.8429473
210703,LIVZON PHARMACEUTICAL GROUP,2834,2304.485,13862.334,38.0,604293313.0,16.62407643619033,22963145894.0,9.96454561170934,22963.145894
210706,SHANGHAI YAOHUA PILKINGTON,3211,142.968,3451.772,0.36,187500002.0,4.1418726381696125,67500000.72,0.4721336293436294,67.50000072
210833,VCANBIO CELL & GENE ENGINEER,2836,89.354,3595.088,19.3,467948890.0,2.48544680964694,9031413577.0,101.07453026165588,9031.413577
210896,SINOPEC OILFIELD SERV CORP,1389,631.606,8648.802,0.65,5410033482.0,7.302814886963535,3516521763.3,5.567587646887459,3516.5217633
211715,INNER MONGOLIA ERDOS RESOURC,2300,1968.029,20945.375,0.883,823200000.0,9.39600747181657,726885600.0,0.3693469964111301,726.8856
211718,SHANGHAI JINJIANG INTL TRAVL,4700,66.298,1042.204,1.28,132556270.0,6.361326573300429,169672025.6,2.5592329421702007,169.67202559999998
211720,SHANGHAI MATL TRADING CENTRE,5051,34.517,1205.758,0.444,99825006.0,2.8626805710598644,44322302.664,1.2840716940637944,44.322302664
